file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
argentine_mismatch_interrogative-partial-wh_Por-que-desayuna-muy-bien,115.8,1.294,*,1,Red,117,4850,532,1492,2358,507,1807,2608,580,1451,2288,494,1492,2484,448,1845,2623
argentine_mismatch_interrogative-partial-wh_Por-que-odiaba-la-lluvia,114.9,1.26,*,1,Blue,118,4700,541,1255,2421,494,1858,2633,591,1504,2464,575,1533,2593,535,1768,2546
argentine_mismatch_interrogative-partial-wh_Por-que-oia-el-rio,120.2,1.146,*,1,Green,119,5600,504,1339,2673,528,1575,2594,445,1988,2766,394,1793,2608,643,1793,2644
argentine_mismatch_interrogative-partial-wh_Por-que-venia-del-lago,114.6,1.096,*,1,Magenta,120,5300,501,1247,2411,501,1771,2523,561,1803,2736,482,1616,2597,530,1081,2667
argentine_mismatch_interrogative-partial-wh_Por-que-vivia-en-Paris,119.3,1.168,*,1,Black,121,5000,506,1415,2365,399,1958,2530,454,1638,2451,381,1757,2576,586,1877,2816
argentine_mismatch_interrogative-total-yn_El-bebe-comia-muy-bien,113.8,1.238,*,1,Lime,122,5450,481,1764,2623,501,1598,2405,536,1635,2615,411,1976,2603,374,1771,2658
argentine_mismatch_interrogative-total-yn_El-hombre-mira-la-luna,134.5,1.146,*,1,Purple,123,5000,542,1981,2619,482,1479,2412,510,1717,2522,463,1457,2472,643,1550,2716
argentine_mismatch_interrogative-total-yn_El-nino-oye-el-rio,123.4,1.14,*,1,Teal,124,5000,460,1962,2736,493,1859,2572,499,1694,2599,424,2004,2554,518,1242,2414
argentine_mismatch_interrogative-total-yn_La-maestra-vive-en-Paris,116.3,1.508,*,1,Navy,125,5300,674,1652,2722,622,1745,2655,371,1571,2517,391,1685,2527,326,1898,2853
argentine_mismatch_interrogative-total-yn_La-nina-lava-el-plato,116.6,1.344,*,1,Pink,126,5150,579,1826,2782,473,1968,2645,589,1488,2434,614,1524,2549,553,1148,2695
argentine_mismatch_interrogative-total-yn_Mi-madre-come-la-fruta,129.8,1.454,*,1,Maroon,127,5000,435,1443,2467,539,1592,2639,520,1512,2378,446,1426,2668,661,1449,2747
argentine_mismatch_interrogative-total-yn_Mi-novio-viene-del-lago,118,1.448,*,1,Olive,128,4700,424,1693,2592,446,1503,2378,547,1782,2670,516,1612,2498,527,893,2354
argentine_mismatch_interrogative-total-yn_Mi-tia-odia-la-lluvia,117.9,1.376,*,1,Grey,129,5150,381,2160,2735,523,1421,2636,563,1774,2625,394,1346,2654,562,1592,2605
argentine_question_filler_Mi-vecino-habla-mucho,131.4,1.128,*,1,Red,130,4850,443,1842,2631,487,1736,2738,609,1426,2471,502,1484,2561,538,1165,2606
castilian_match_declarative-broad-focus_Ana-lleva-el-abrigo,198.2,1.208,*,1,Blue,131,7100,942,1857,3293,349,2440,3453,648,1861,3106,353,1990,3116,589,2223,3452
castilian_match_declarative-broad-focus_Daniel-iba-a-Bolivia,201.5,1.408,*,1,Green,132,6350,410,1996,3164,365,2254,3369,604,1530,2611,339,2060,2905,365,1991,2922
castilian_match_declarative-broad-focus_David-leia-el-libro,185.8,1.432,*,1,Magenta,133,6350,392,1808,2965,413,2243,3152,410,2536,3267,330,2163,3345,626,1866,3043
castilian_match_declarative-broad-focus_Emilio-ama-la-marcha,194,1.352,*,1,Black,134,5750,405,2274,3003,505,1626,2684,563,1646,2617,469,1626,2852,852,1863,3149
castilian_match_declarative-broad-focus_Manuela-vende-el-carro,199.6,1.482,*,1,Lime,135,6350,418,1852,2971,510,1888,2900,417,2249,3032,651,1841,2718,646,1922,2933
castilian_match_declarative-broad-focus_Maria-bebe-el-vino,202.9,1.31,*,1,Purple,136,5600,538,1952,3026,514,2008,3022,479,2036,2796,350,2108,2908,325,1667,2274
castilian_match_declarative-broad-focus_Mariano-habla-del-tiempo,189.7,1.558,*,1,Teal,137,6200,437,2044,3073,716,1814,2871,505,1747,2922,361,2124,3008,336,1808,2713
castilian_match_declarative-broad-focus_Marta-abre-el-regalo,207.2,1.35,*,1,Navy,138,5600,812,1671,2799,972,1740,3020,422,1835,2825,518,1742,2666,464,1613,2512
castilian_match_declarative-narrow-focus_Ana-lleva-el-abrigo,187,1.168,*,1,Pink,139,7100,738,1867,3257,383,2274,3375,636,1811,2936,347,2446,3312,923,2204,3642
castilian_match_declarative-narrow-focus_Daniel-iba-a-Bolivia,195.7,1.444,*,1,Maroon,140,5600,426,2023,3015,413,2401,3039,776,1630,2709,358,2069,2842,325,1987,2805
castilian_match_declarative-narrow-focus_David-leia-el-libro,176.4,1.292,*,1,Olive,141,5750,476,1882,2828,390,2195,3124,458,2569,3229,349,2456,3063,363,1568,2279
castilian_match_declarative-narrow-focus_Emilio-ama-la-marcha,189.6,1.312,*,1,Grey,142,5900,408,2275,2948,435,1825,2858,603,1715,2936,470,1672,2845,936,1963,3136
castilian_match_declarative-narrow-focus_Manuela-vende-el-carro,196.6,1.392,*,1,Red,143,5450,417,1708,2464,563,1864,2922,449,2031,2970,674,1732,2477,448,1490,2231
castilian_match_declarative-narrow-focus_Maria-bebe-el-vino,179.6,1.262,*,1,Blue,144,6500,400,1886,2898,538,2038,3106,432,1969,2895,339,2335,3024,583,2014,3457
castilian_match_declarative-narrow-focus_Mariano-habla-del-tiempo,182.2,1.506,*,1,Green,145,6050,391,2089,3120,738,1756,2914,420,1901,3016,374,1922,3005,344,1743,2558
castilian_match_declarative-narrow-focus_Marta-abre-el-regalo,183.4,1.352,*,1,Magenta,146,5750,786,1718,2864,871,1760,3021,406,1907,2813,460,1879,2590,380,1614,2440
