session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Bilingual,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,English speaking Monolingual,Ethnicity,Ethnicity (Simplified),First language,First Language,Fluent languages,Hearing difficulties,Language related disorders,Literacy Difficulties,Mono/multi cultural,Nationality,Sex,Student Status,Were you raised monolingual?
605a0753e271f2dd74079a63,5f0763da47bd2b3561e8d085,APPROVED,2021-03-23 15:21:03.535000,2021-03-23 15:32:25.201000,681.666,23,404,2,100,2021-03-24 16:26:45.172000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605a1778e4ea520911cc7c14,5aede0b676b763000132f6a4,APPROVED,2021-03-23 16:29:47.229000,2021-03-23 16:41:28.458000,701.229,21,274,2,98,2021-03-24 16:27:08.378000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,Yes,I was raised with my native language only
605a235422f13c15b3cb0e80,6044d8e1c960ed56b4b31fe7,APPROVED,2021-03-23 17:20:23.326000,2021-03-23 17:35:20.461000,897.135,33,59,0,100,2021-03-24 16:27:28.293000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Full-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605a44a1530376103fd943d6,5eda86226763346ac679ca5f,APPROVED,2021-03-23 19:42:33.812000,2021-03-23 19:53:04.544000,630.732,30,656,7,98,2021-03-24 16:28:05.529000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),Pennsylvania (PA),Full-Time,I only know English,White/Caucasian,White,,English,English,No,none,No,I identify myself as a monocultural individual,United States,Male,No,I was raised with my native language only
605a536fb07ba4d0a12cdf41,5deec7e78b5f8b5683c0355a,APPROVED,2021-03-23 20:45:38.855000,2021-03-23 20:56:51.539000,672.684,23,655,1,100,2021-03-24 16:29:12.721000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),New Jersey (NJ),Other,I only know English,White/Caucasian,White,English,English,English,Yes,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
605a5c485006f54f55e9c397,5f5ec6788e2b6678ee5cbc0e,RETURNED,2021-03-23 21:33:20.332000,,517492.0456,24,88,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605a6cec48b99ec721392e73,5f5588d8f313fc95927e288b,APPROVED,2021-03-23 22:34:23.385000,2021-03-23 22:48:54.525000,871.14,38,299,0,100,2021-03-24 16:32:50.477000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),Pennsylvania (PA),Part-Time,I only know English,White/Caucasian,White,English,DATA EXPIRED,English,No,none,No,I identify myself as a monocultural individual,United States,Female,No,I was raised with my native language only
605a752eb4cc987aeb6f8f47,600e13b23c75bc67ab184745,RETURNED,2021-03-23 23:09:33.943000,,511718.443222,40,135,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
605a76b0af5b3c0a8689d29f,5eb0bbbc0be27c183500b45d,APPROVED,2021-03-23 23:16:00.168000,2021-03-23 23:30:56.301000,896.133,20,567,1,100,2021-03-24 16:33:17.258000,3900423D,none just my native langauge,United States,United States,Pennsylvania (PA),Pennsylvania (PA),Part-Time,I know one other language in addition to English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
605a8b9140e65362adb84c80,5f055b6ca28292863f750383,APPROVED,2021-03-24 00:45:05.425000,2021-03-24 01:01:04.070000,958.645,19,137,0,100,2021-03-24 16:33:37.642000,3900423D,none just my native langauge,United States,United States,New Jersey (NJ),Pennsylvania (PA),"Not in paid work (e.g. homemaker', 'retired or disabled)",I only know English,White/Caucasian,White,English,English,English,No,none,No,I identify myself as a monocultural individual,United States,Female,Yes,I was raised with my native language only
