e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
632.2,685.9,790.7,721,705.5,751.7,788.8,751.8,762.7,725.1,668.5,660.6,660.4,546.8,515.7,510.6,508.6,521.1,536.8,558.5
680.8,753.6,718.9,691.9,583.7,573.4,518.7,526.4,543.3,551.7,553.5,556.3,555,554.8,577.6,616.7,630.5,652.1,689.9,764.5
648.7,619.4,626.1,631.6,587.4,542,542.7,521,534,542,557.5,555.6,570.9,570.2,563.6,591,675.9,727,727.1,742.5
689.3,747.9,829.6,807.4,702.3,669.8,636.7,599.5,580.6,584.8,606,621.1,638.6,670.5,690.1,713.9,719.4,792.9,856.9,905.5
647.1,653.9,714.8,619.9,460.2,459.8,485.9,499.7,542.5,508.2,478.5,504.8,526.8,553.1,578.2,623.3,699.5,815.4,859.3,906.1
628.2,713.4,830.4,786.2,580.8,550.4,557.5,544.3,543,518.4,482.4,472.8,465,481,517.9,538.4,560.8,578.4,597.8,614.4
750.2,787.7,783.7,754.9,675.6,638.6,616.1,594.7,580,547.6,573.1,582.1,587,630.4,653,705.5,722.2,762.9,841.9,902.2
640.3,729.5,727.7,712.9,572,471.7,457.6,451.2,461,489.1,491.7,473.7,483.6,487.9,531.5,629,708.1,739.8,785.2,949.6
540,677.3,698.4,640,571.1,536.4,527.8,558.6,586.4,591.5,605.7,600.5,582.4,544.2,521.3,513,517.1,520.7,497.7,514.8
629,573.8,575.2,534.6,508.4,499.9,514.9,543.7,557.2,513.1,507.7,496.2,493.4,490.5,482.2,466,438.8,445.3,455.5,478.7
755.5,776.3,724,626.7,542.5,572.3,563,566.8,562.8,547.8,554.4,573,608.9,616.5,570.4,548.3,510.4,492.9,490.9,519.3
620.2,695.6,721.1,715.6,602.1,498.5,520.4,532.8,565.4,575.5,586.5,584,593.9,607.7,631.5,670.7,685.2,692.6,722.1,724.8
631,607,629.3,590,527.2,486.6,474.6,474.9,479.3,478.4,532.2,579.1,603.1,649.7,693.8,684.8,716.5,736.7,789,881.6
747.7,774.5,772.5,733.8,723.8,650.3,573.9,537.8,542.6,548.8,545.5,588.2,589.4,605.5,626.7,656.5,681.5,698.2,711.5,724.3
703.5,699.1,660.4,560.2,536.6,508.9,518.9,506.7,507.8,499.4,518.1,568.8,582.2,614.7,674.2,678.6,671.6,688.4,729.3,799.2
708.1,781.7,755.7,733.5,651.9,538.5,511.2,501.3,507.3,514.2,513.9,526.7,551.8,600.5,647.7,652.9,662.7,714.6,749.8,767.3
698.4,739.9,745.3,692.7,704,669,652.7,648.5,637.5,614.4,581.3,581.1,583.3,605.6,599.4,597.8,638.1,646.8,683.8,693.9
746.6,826.8,813.9,647.4,551.4,501,495.5,510,520.7,532.5,520.6,520.1,517.9,510.2,562.3,609.8,615,653.2,680.1,707.3
748.3,702.1,715.9,639.3,538.9,491.2,482.6,487.7,493,490.5,502.8,504.9,514.2,543.6,580.7,620.4,663.1,668.1,675,716.7
