variety,condition,sentence_type,item,nsyll,npause,dur (s),phonationtime (s),speech_rate,articulation_rate,avg_syll_dur
Chilean,mismatch,interrogative-partial-wh,Por-que-desayuna-muy-bien,6,0,1.45,1.45,4.13,4.13,0.242
Chilean,mismatch,interrogative-partial-wh,Por-que-odiaba-la-lluvia,7,0,1.47,1.47,4.75,4.75,0.211
Chilean,mismatch,interrogative-partial-wh,Por-que-oia-el-rio,5,0,1.42,1.42,3.53,3.53,0.283
Chilean,mismatch,interrogative-partial-wh,Por-que-venia-del-lago,6,0,1.33,1.33,4.51,4.51,0.222
Chilean,mismatch,interrogative-partial-wh,Por-que-vivia-en-Paris,5,0,1.38,1.38,3.63,3.63,0.276
Chilean,mismatch,interrogative-total-yn,El-bebe-comia-muy-bien,7,0,1.42,1.42,4.94,4.94,0.202
Chilean,mismatch,interrogative-total-yn,El-hombre-mira-la-luna,6,0,1.18,1.18,5.07,5.07,0.197
Chilean,mismatch,interrogative-total-yn,El-nino-oye-el-rio,4,0,1.27,1.27,3.15,3.15,0.318
Chilean,mismatch,interrogative-total-yn,La-maestra-vive-en-Paris,6,0,1.3,1.3,4.6,4.6,0.217
Chilean,mismatch,interrogative-total-yn,La-nina-lava-el-plato,4,0,1.15,1.15,3.47,3.47,0.288
Chilean,mismatch,interrogative-total-yn,Mi-madre-come-la-fruta,3,0,1.29,1.29,2.33,2.33,0.43
Chilean,mismatch,interrogative-total-yn,Mi-novio-viene-del-lago,5,0,1.29,1.29,3.89,3.89,0.257
Chilean,mismatch,interrogative-total-yn,Mi-tia-odia-la-lluvia,5,0,1.37,1.37,3.65,3.65,0.274
Cuban,match,declarative-broad-focus,Ana-lleva-el-abrigo,7,0,1.24,1.24,5.66,5.66,0.177
Cuban,match,declarative-broad-focus,Daniel-iba-a-Bolivia,8,0,1.58,1.58,5.05,5.05,0.198
Cuban,match,declarative-broad-focus,David-leia-el-libro,6,0,1.41,1.41,4.25,4.25,0.235
Cuban,match,declarative-broad-focus,Emilio-ama-la-marcha,6,0,1.23,1.23,4.89,4.89,0.205
Cuban,match,declarative-broad-focus,Manuela-vende-el-carro,6,0,1.39,1.39,4.31,4.31,0.232
Cuban,match,declarative-broad-focus,Maria-bebe-el-vino,3,0,1.25,1.25,2.4,2.4,0.417
Cuban,match,declarative-broad-focus,Mariano-habla-del-tiempo,4,0,1.46,1.46,2.73,2.73,0.366
Cuban,match,declarative-broad-focus,Marta-abre-el-regalo,4,0,1.33,1.33,3.01,3.01,0.332
Cuban,match,declarative-narrow-focus,Ana-lleva-el-abrigo,7,0,1.08,1.08,6.46,6.46,0.155
Cuban,match,declarative-narrow-focus,Daniel-iba-a-Bolivia,6,0,1.29,1.29,4.66,4.66,0.214
Cuban,match,declarative-narrow-focus,David-leia-el-libro,7,0,1.35,1.35,5.17,5.17,0.193
Cuban,match,declarative-narrow-focus,Emilio-ama-la-marcha,6,0,1.26,1.26,4.76,4.76,0.21
Cuban,match,declarative-narrow-focus,Manuela-vende-el-carro,6,0,1.38,1.38,4.35,4.35,0.23
Cuban,match,declarative-narrow-focus,Maria-bebe-el-vino,6,0,1.09,1.09,5.51,5.51,0.182
Cuban,match,declarative-narrow-focus,Mariano-habla-del-tiempo,4,0,1.24,1.24,3.22,3.22,0.31
Cuban,match,declarative-narrow-focus,Marta-abre-el-regalo,4,0,1.18,1.18,3.39,3.39,0.295
Cuban,match,interrogative-partial-wh,Cuando-bebia-el-vino,4,0,1.12,1.12,3.57,3.57,0.28
Cuban,match,interrogative-partial-wh,Cuando-leia-el-libro,4,0,1.18,1.18,3.38,3.38,0.296
Cuban,match,interrogative-partial-wh,Cuando-lleva-el-abrigo,5,0,1.18,1.18,4.25,4.25,0.235
Cuban,match,interrogative-partial-wh,Cuando-vendia-el-carro,5,0,1.16,1.16,4.29,4.29,0.233
Cuban,match,interrogative-partial-wh,Por-que-abre-el-regalo,4,0,1.22,1.22,3.28,3.28,0.305
Cuban,match,interrogative-partial-wh,Por-que-ama-la-navidad,5,0,1.17,1.17,4.27,4.27,0.234
Cuban,match,interrogative-partial-wh,Por-que-hablaba-del-agua,4,0,1.38,1.38,2.9,2.9,0.344
Cuban,match,interrogative-partial-wh,Por-que-iba-a-Bolivia,6,0,1.2,1.2,4.99,4.99,0.201
Cuban,match,interrogative-total-yn,Ana-lleva-el-abrigo,6,0,1.13,1.13,5.33,5.33,0.188
Cuban,match,interrogative-total-yn,Daniel-iba-a-Bolivia,6,0,1.31,1.31,4.58,4.58,0.218
Cuban,match,interrogative-total-yn,David-leia-el-libro,5,0,1.32,1.32,3.8,3.8,0.263
Cuban,match,interrogative-total-yn,Emilio-ama-la-marcha,4,0,1.28,1.28,3.13,3.13,0.319
